время ;;открытие ;Максимум ;Минимум ;Закрытие;Обыем
20.05.2021;11:00;1.21881;1.21917;1.2184;1.21855;3606
20.05.2021;11:30;1.21855;1.21873;1.21832;1.2187;2909
20.05.2021;12:00;1.21871;1.21912;1.21809;1.21884;3266
20.05.2021;12:30;1.21887;1.2197;1.21878;1.21939;3543
20.05.2021;13:00;1.2194;1.22019;1.2194;1.21979;2763
20.05.2021;13:30;1.2198;1.22025;1.21935;1.22018;2829
20.05.2021;14:00;1.22019;1.22078;1.2199;1.2203;3119
20.05.2021;14:30;1.2203;1.22056;1.21961;1.21999;4500
20.05.2021;15:00;1.21998;1.22126;1.21973;1.22115;5161
20.05.2021;15:30;1.22114;1.22156;1.22064;1.22097;4984
20.05.2021;16:00;1.22096;1.22176;1.22092;1.22129;4962
20.05.2021;16:30;1.22129;1.22186;1.22069;1.22134;4621
20.05.2021;17:00;1.22134;1.22195;1.22082;1.22083;3234
20.05.2021;17:30;1.22085;1.22262;1.22078;1.22242;3209
20.05.2021;18:00;1.22243;1.22246;1.22137;1.2221;2983
20.05.2021;18:30;1.22209;1.2223;1.2217;1.2218;2286
20.05.2021;19:00;1.22181;1.22185;1.2212;1.2214;2079
20.05.2021;19:30;1.22139;1.22179;1.22119;1.2215;1374
20.05.2021;20:00;1.22151;1.22221;1.22151;1.22219;1599
20.05.2021;20:30;1.22219;1.2222;1.22148;1.22195;1707
20.05.2021;21:00;1.22196;1.22259;1.2218;1.22258;1601
20.05.2021;21:30;1.22258;1.2228;1.22239;1.2228;1792
20.05.2021;22:00;1.2228;1.22286;1.22248;1.22277;1065
20.05.2021;22:30;1.22278;1.22289;1.22256;1.22271;1010
20.05.2021;23:00;1.22269;1.22282;1.22226;1.22278;221
20.05.2021;23:30;1.22278;1.22297;1.22271;1.22294;238
21.05.2021;0:00;1.22294;1.223;1.22271;1.22274;522
21.05.2021;0:30;1.22274;1.2228;1.22258;1.22258;305
21.05.2021;1:00;1.22259;1.2227;1.22252;1.22262;434
21.05.2021;1:30;1.22262;1.22281;1.22247;1.22248;495
21.05.2021;2:00;1.22249;1.22377;1.22237;1.22369;2246
21.05.2021;2:30;1.22371;1.22371;1.22296;1.22337;2137
21.05.2021;3:00;1.22339;1.22359;1.22322;1.22357;1624
21.05.2021;3:30;1.22356;1.22391;1.22311;1.22321;2386
21.05.2021;4:00;1.22322;1.22328;1.22273;1.22289;2260
21.05.2021;4:30;1.22289;1.22324;1.22274;1.22319;1426
21.05.2021;5:00;1.22319;1.22327;1.22295;1.22315;1311
21.05.2021;5:30;1.22316;1.22324;1.22297;1.2232;975
21.05.2021;6:00;1.22319;1.22333;1.22303;1.22333;897
21.05.2021;6:30;1.22333;1.22343;1.2232;1.22326;882
21.05.2021;7:00;1.22327;1.22368;1.22327;1.22357;945
21.05.2021;7:30;1.22357;1.22359;1.22317;1.22334;1379
21.05.2021;8:00;1.22335;1.22397;1.22312;1.22314;2158
21.05.2021;8:30;1.22313;1.22321;1.22222;1.22258;3212
21.05.2021;9:00;1.22258;1.22356;1.2221;1.22328;6025
21.05.2021;9:30;1.22328;1.22328;1.22097;1.22162;6678
21.05.2021;10:00;1.22162;1.22215;1.22125;1.22198;3715
21.05.2021;10:30;1.22199;1.22248;1.22159;1.22234;3625
21.05.2021;11:00;1.22235;1.22306;1.22195;1.22279;3715
21.05.2021;11:30;1.22278;1.2233;1.22247;1.22258;3380
21.05.2021;12:00;1.22259;1.22378;1.22255;1.22307;3576
21.05.2021;12:30;1.22306;1.22327;1.22183;1.22189;3451
21.05.2021;13:00;1.22188;1.22212;1.22138;1.22193;3548
21.05.2021;13:30;1.22193;1.22213;1.21844;1.21861;5480
21.05.2021;14:00;1.21862;1.21953;1.21784;1.21921;7784
21.05.2021;14:30;1.21919;1.22063;1.21918;1.22055;3773
21.05.2021;15:00;1.22055;1.22099;1.21909;1.21944;4333
21.05.2021;15:30;1.21944;1.21964;1.21751;1.21849;8104
21.05.2021;16:00;1.21849;1.21866;1.21719;1.21807;6474
21.05.2021;16:30;1.21807;1.21897;1.21704;1.21884;6796
21.05.2021;17:00;1.21884;1.21915;1.2184;1.21854;4130
21.05.2021;17:30;1.21854;1.21883;1.21745;1.21771;2781
21.05.2021;18:00;1.2177;1.21785;1.2173;1.21762;3029
21.05.2021;18:30;1.2176;1.21764;1.21606;1.21639;2650
21.05.2021;19:00;1.2164;1.21706;1.21625;1.21705;2270
21.05.2021;19:30;1.21706;1.21764;1.217;1.21763;1262
21.05.2021;20:00;1.21764;1.21796;1.21754;1.21781;1341
21.05.2021;20:30;1.21781;1.21815;1.21767;1.2181;1331
21.05.2021;21:00;1.21809;1.21858;1.21783;1.21854;1593
21.05.2021;21:30;1.21854;1.2187;1.21833;1.21854;1834
21.05.2021;22:00;1.21854;1.21877;1.21849;1.21859;787
21.05.2021;22:30;1.21858;1.21858;1.21782;1.21804;682
23.05.2021;23:00;1.21789;1.21801;1.2176;1.21793;36
23.05.2021;23:30;1.21795;1.21795;1.21741;1.21783;84
24.05.2021;0:00;1.21767;1.21818;1.21724;1.21754;1212
24.05.2021;0:30;1.21755;1.21817;1.21746;1.21788;1304
24.05.2021;1:00;1.21789;1.21843;1.21788;1.21807;771
24.05.2021;1:30;1.21806;1.2184;1.21803;1.21804;717
